Sextant,CAN,Device,Row,Column
5,4,P1097,R-13,C2
5,4,P1120,R-13,C3
5,4,P0986,R-13,C4
5,4,P1072,R-13,C5
5,4,P1096,R-13,C6
5,4,P1111,R-13,C7
5,4,P0866,R-13,C8
5,4,P0934,R-13,C9
5,4,P0945,R-13,C10
5,4,P0892,R-13,C11
5,4,P0907,R-13,C12
6,1,P0955,R-5,C6
6,1,P1166,R-6,C5
6,1,P1122,R-5,C5
6,1,P1139,R-4,C5
6,1,FTO-201521,R-4,C6
6,1,P960,R-4,C7
6,1,P0958,R-4,C8
6,1,P0679,R-4,C9
6,1,P06334,R-5,C8
6,1,P0636,R-5,C7
6,1,P0642,R-6,C6
6,1,P1065,R-7,C5
6,1,P1084,R-8,C4
6,1,FTO-201748,R-7,C4
6,1,P1014,R-6,C4
6,1,P0938,R-5,C4
6,1,P914,R-4,C4
6,1,FTO-201169,R-3,C4
6,1,P0904,R-3,C5
6,1,P1015,R-3,C6
6,1,P0997,R-3,C7
6,1,P0396,R-3,C8
6,1,P0691,R-3,C9
6,1,P0733,R-3,C10
6,2,P597,R-2,C11
6,2,None,R-2,C10
6,2,P0436,R-2,C9
6,2,P1134,R-2,C8
6,2,P1154,R-2,C7
6,2,P1109,R-2,C6
6,2,P1155,R-2,C5
6,2,P1061,R-2,C4
6,2,P1091,R-2,C3
6,2,P0880,R-3,C3
6,2,P1142,R-4,C3
6,2,P0591,R-5,C3
6,2,P0525,R-6,C3
6,2,P0647,R-7,C3
6,2,P0404,R-8,C3
6,2,P0838,R-9,C3
6,2,P0676,R-10,C3
6,2,P0651,R-9,C4
6,2,P0797,R-8,C5
6,2,P1082,R-7,C6
6,2,P0833,R-6,C7
6,3,P0808,R-1,C12
6,3,P1039,R-1,C11
6,3,P0929,R-1,C10
6,3,P1033,R-1,C9
6,3,P0628,R-1,C8
6,3,P0702,R-1,C7
6,3,P0759,R-1,C6
6,3,P1276,R-1,C5
6,3,P0563,R-1,C4
6,3,P0432,R-1,C3
6,3,P0717,R-1,C2
6,3,P1255,R-2,C2
6,3,P1209,R-3,C2
6,3,P0722,R-4,C2
6,3,P1273,R-5,C2
6,3,FTO-201479,R-6,C2
6,3,P1124,R-7,C2
6,3,P1149,R-8,C2
6,3,P1174,R-9,C2
6,3,P0403,R-10,C2
6,3,P0650,R-11,C2
6,3,P0741,R-12,C1
6,4,P0859,R0,C13
6,4,FTO-201517,R0,C12
6,4,P0846,R0,C11
6,4,P1076,R0,C10
6,4,P1201,R0,C9
6,4,FTO-201513,R0,C8
6,4,P0546,R0,C7
6,4,P0550,R0,C6
6,4,P0750,R0,C5
6,4,FTO-201515,R0,C4
6,4,P0767,R0,C3
6,4,P1002,R0,C2
6,4,P1045,R0,C1
6,4,P1278,R-1,C1
6,4,P1161,R-2,C1
6,4,P0962,R-3,C1
6,4,P1018,R-4,C1
6,4,P0712,R-5,C1
6,4,P0410,R-6,C1
6,4,P1053,R-7,C1
6,4,P1203,R-8,C1
6,4,P0695,R-9,C1
6,4,P0663,R-10,C1
6,4,P0624,R-11,C1
